Titolo,Autore,Pagine,Codice
Il coraggio del pettirosso,Maurizio Maggiani.,316 p.,8.2 256
Il culo di Sacchi,Gene Gnocchi.,98 p.,8.2 223
Il diavolo al Pontelungo,Riccardo Bacchelli.,407 p.,8.2 764
"I1l diavolo, certamente",Andrea Camilleri.,171 p.,8.2 876
Il dio danaro,Renato Olivieri.,277 p.,8.2 309
Il dipendente,Sebastiano Nata.,154 p.,8.2 302 Scansionato con CamScanner
Il dissenso,Libero Bigiaretti.,206 p.,8.2 744
Il dolore perfetto,Ugo Riccarelli.,325 p.,8.2 690
Il fantasma di Mautana,Silvana Grasso.,197 p.,8.2 229
Il figlio di Bakunin,Sergio Atzeni.,121 p.,8.2 18
Il filo dell'orizzonte,Antonio Tabucchi.,107 p.,8.2 411
Il fiore di Merara,Erminia Dell'Oro.,191 p.,8.2 177
Il fu Mattia Pascal,Luigi Pirandello.,291 p.,8.2 346
Il fu Mattia Pascal Sei personaggi in cerca d'autore,Luigi Pirandello.,390 p.,8.2 756
Il fuoco,Gabriele D'Annunzio.,,8.2 150
Il gabbiano azzurro,Raffaello Brignetti.,196 p.,8.2 63
Il garofano rosso,Elio Vittorini.,192 p.,8.2 779
Il gatto Pik,Vito Ventrella.,129 p.,8.2 519
Il Gattopardo,Giuseppe Tomasi di Lampedusa.,240 p.,8.2 424
Il genio dell'abbandono,Wanda Marasco.,351 p.,8.2 998
I1l giardino dei Finzi-Contini,Giorgio Bassani.,241 p.,8.2 483
Il gioco dei regni,Clara Sereni.,453 p.,8.2 385
Il giorno della civetta,Leonardo Sciascia.,138 p.,8.2 671 Scansionato con CamScanner
Il giorno della civetta,Leonardo Sciascia.,120 p.,8.2 572
Il giorno in più,Fabio Volo.,287 p.,8.2 652
Il giorno prima della felicità,Erri De Luca.,133 p.,8.2 617
Il gran lombardo,Giulio Cattaneo,133 p.,8.2 119
Il grande boh!,Jovanotti.,259 p.,8.2 553
Il grande disordine,Paolo Montesi.,136 p.,8.2 282
Il gusto della vita,Franco Pastore.,169 p.,8.2 782
Il lato oscuro del cuore,Corrado Augias.,278 p.,8.2.972
Il libro de kipli,Corrado Guzzanti.,91 p.,8.2 234
Il libro degli errori,Gianni Rodari.,157 p.,8.2 365
Il libro della sventura,"Michele Di Gè. —- Manduria Lacaita, 1971.",181 p.,8.2 179
Il maestro,Francesco Carofiglio.,154 p.,8.2 1082
Il manicomio di Pechino,Mario Tobino.,179 p.,8.2 639
Il mare non bagna Napoli,Anna Maria Ortese.,176 p.,8.2 314
Il mare verticale,Giorgio Saviane.,199 p.,8.2 729
Il matrimonio di Maria,Rossana Campo.,90 p.,8.2 481
Il meccanico Landru,Andrea Vitali.,370 p.,
Il medico della mutua,Giuseppe D'Agata.,192 p.,8.2 753 Scansionato con CamScanner
}-Il meglio di alto gradimento,Arbore e Boncompagni.,198 p.,8.2 725
Il mercante di luce,Roberto Vecchioni.,121 p.,B.2 962
mestiere di vivere,"Cesare Pavese,",361 p.,B.2 332
I1l] mio Carso,Scipio Slataper.,,
[M}-Il mirto e la rosa,Annie Messina.,188 p.,B.2 826
[M)-Il mistero di via Monaci,Alfonso Gatto.,321 p.,"8,2 212"
Il momento è delicato,Niccolò Ammaniti.,367 p.,
Il monaciello di Napoli,Annamaria Ortese.,137 p.,8.2 584
Il mondo deve sapere,Michela Murgia.,161 p.,8.2 1031
Il mondo salvato dai ragazzini,Elsa Morante.,224 p.,8.2 284
Il muro dei muri,Carmine Abate.,207 p.,8.2 989
Il muro dei muri,Carmine Abate.,207 p.,8.2 710
Il nocchiero,Paola Capriolo.,139 p.,8.2 105
Il nome della rosa,Umberto Eco.,618 p.,8.2 668
Il nome della rosa,Umberto Eco.,533 p.,8.2 186
Il novellino,Aniello Russo.,158 p.,8.2 371
Il nuovo che avanza,Michele Serra.,151 p.,8.2 390
Il padrone,Goffredo Parise.,234 p.,8.2 321 Scansionato con CamScanner
Il paese dei coppoloni,Vinicio Capossela.,347 p.,8.2 960
Il pane di Abele,Salvatore Niffoi.,168 p.,8.2 772
Il partigiano Johnny,Beppe Fenoglio.,527 p.,8.2 785
Il partigiano Johnny,Beppe Fenoglio.,527 p.,8.2 193
Il passato è una terra straniera,Gianrico Carofiglio.,262 p.,8.2 705
Il peggio deve venire,"Gianfranco Manfredi,",223 p.,8.2 259
Il pesce elettrico,Enrico Fovanna.,274 p.,8.2 204
I1l peso dello zaino,Giulio Bedeschi.,302 p.,8.2 748
Il peso dello zaino,Giulio Bedeschi.,310 p.,8.2 543
"""Il picciotto e il brigatista""","Roberto Gugliotta , Giovanna Vizzaccaro.",220 p.,8.2 815
Il pieno di super,Rossana Campo.,141 p.,8.2 98
Il più e il meno,Erri De Luca.,133 p.,8.2 985
Il prete nuovo,Salvatore Della Monica.,141 p.,8.2 506
Il Pretore soppresso,Michele Di Lieto.,260 p.,8.2 692
Il prigioniero di se stesso,Salvatore Cravotta.,172 p.,8.2 666
Il primo libro delle favole,Carlo Emilio Gadda.,,8.2 209
Il principe costante,"Alberto Arbasino,",136 p.,8.2 16
)-Il Quartiere,Vasco Pratolini.,200 p.,’ B.2 351
I11l quinto evangelio,Mario Pomilio.,398 p.,’ B.2 760
Il ragazzo mucca,Michele Serra.,,
} -11 re venuto dal passato,Enzo Sacco.,128 p.,"1996, . ’ B.2 373"
-1]1 reggimento parte all'alba,"Dino Buzzati. Milano Il Sole 24 ORE, 2012, “ 19 Pa 18 cm. B.2 B96",,B.2 B96
}-Il resto della settimana,"Maurizio De Giovanni. Milano Rizzoli, 2015,",300 p.,LA 8.2 970
Il resto di niente,Enzo Striano.,366 p.,’ 8.2 478
Il resto è silenzio,"Chiara Ingrao. Milano Baldini & Castoldi Dalai, 2007.",156 p.,’ 8.2 1039
Il ritorno,Manlio Cancogni.,240 p.,8.2 101
-Il romanzo della nazione,"Maurizio Maggiani. Milano Feltrinelli, Z01s. > 297 pu . 22 cm. , 8.2 990",,", 8.2 990"
Il rumore delle perle di legno,"Antonia Arslan. Milano Rizzoli, 2015.",179 p.,", 8.2 999"
Il salto con le aste,"Domenico Starnone. Milano Feltrinelli, 1989,",183 p.,Li 8.2 404
Il Santo,Antonio Fogazzaro.,,8.2 201
Il segreto di Luca,Ignazio Silone.,214 p.,LA 8.2 395
Il senso della lotta,Nicola Ravera Rafele.,,", 8.2 1037"
Il sentiero dei nidi di ragno,Italo Calvino.,159 p.,"’ 8.2 92 (M]-Il sergente nella neve / Mario Rigoni Stern. Torino Einaudi, 1967. - 155 p. . 18 cm. , 8.2 361"
Il silenzio,"Gina Lagorio. Milano Mondadori, 1993, 306 p. ; 22 cm. 8.2 239 Scansionato con CamScanner",306 p.,8.2 239 Scansionato con CamScanner
Il silenzio di Chantal,Concetta Coccia.,231 p.,8.2 801
Il sogno dalmata,Fulvio Tomizza.,169 p.,
Il sopravvissuto,Antonio Scurati.,396 p.,8.2 707
Il sottolineatore solitario,Marco Bosonetto.,159 p.,8.2 59
Il suono del mondo,Giampiero Comolli.,122 p.,8.2 137
Il supplizio dei tritoni,Duccio Canestrini.,128 p.,8.2 102
Il taglio del bosco,Carlo Cassola.,540 p.,8.2 113
Il tailleur grigio,Andrea Camilleri.,141 p.,8.2 533
Il tempo dei gelsomini,Franco Calabrese.,46 p.,8.2 659
Il terrazzino dei gerani timidi,Anna Marchesini.,231 p.,8.2 842
Il Terzo tempo,Lidia Ravera.,493 p.,8.2 1091
Il torto del soldato,Erri De Luca.,88 p.,8.2 887
Il treno dell'ultima notte,Dacia Maraini.,250 p.,8.2 621
Il trono vuoto,Roberto Andò.,236 p.,8.2 913
Il tuttomio,Andrea Camilleri.,147 p.,8.2 933
Il vallone del diavolo,Gerardo Leo e gli alunni della III G.,90 p.,8.2 495
Il vangelo nei lager,Roberto Angeli.,151 p.,8.2 ll Scansionato con CamScanner
[M)-Il venditore di pietre pomici,Pasqualina Cammarano.,155 p.,((Donazione dell'autore)). 8.2 1026
Il vento sulla sabbia,Fausta Cialente.,180 p.,8.2 129
I1 verbale,Carlo Panella.,,8.2 319
Il verde della tua veste e altri racconti,Piero Chiara.,79 p.,8.2 578
Il viaggiatore felice,Alfonso De Sio.,123 p.,8.2 1067
Il visconte dimezzato,Italo Calvino.,92 p.,8.2 93
Il volo della martora,Mauro Corona.,208 p.,8.2 674
In alto a sinistra,Erri De Luca.,127 p.,8.2 166
In mezzo al mare un'isola c'é...,Isabella Quarantotti De Filippo.,85 p.,8.2 645
In ogni caso nessun rimorso,Pino Cacucci,330 p.,8.2 76
In principio erano le mutande,Rossana Campo.,149 p.,8.2 99
In punta d'ali,Apollonia D'Arienzo.,113 p.,8.2 1058
In quale nascondiglio del cuore,Lidia Ravera.,148 p.,8.2 356
In vacanza col buon samaritano,Lalla Romano.,96 p.,8.2 367
In viaggio,Fabrizia Ramondini.,,8.2 355
Incendiami la vita,Peppe Lanzetta.,164 p.,8.2 246
Infedeltà amorosa,Giovanni Dusi.,202 p.,8.2 185 Scansionato con CamScanner
Insciallah,Oriana Fallaci.,795 p.,8.2 636
Io e lui,Alberto Moravia.,,8.2 288
Io e te,Niccolò Ammaniti.,116 p.,8.2 813
Io non ho paura,Niccolò Ammaniti.,219 p.,8.2 630
Io non sto a guardare : Memorie di una partigiana femminista,Velia Sacchi.,243 p.,((con fotografie)). 8.2 982
Io Saffo,Marcello Venturoli.,205 p.,8.2 449
Io sono di legno,Giulia Carcasi.,140 p.,8.2 781
Isole senza mare,Antonella Cilento.,366 p.,8.2 875
Isolina,Dacia Maraini.,186 p.,8.2 684
[M)-Italia magica,Gianfranco Contini.,254 p.,8.2 138
Jack e l'uomo della folla,Diego Cugia.,250 p.,8.2 623
Jack Folla : Lettere dal silenzio,Diego Cugia.,251 p.,8.2 677
Jack Frusciante è uscito dal gruppo,"Enrico Brizzi. Milano : Baldini & Castoldi, 1995.",171 p.,8.2 66
Kobilek,Ardengo Soffici.,141 p.,8.2 745
Kuraj,Silvia Di Natale.,453 p.,8.2 568
L'abbandone,Pier Vittorio Tondelli.,335 p.,8.2 431
L'abdicazione,Gennaro Manna.,234 p.,8.2 262 Scansionato con CamScanner
L'Adalgisa,Carlo Emilio Gadda.,279 p.,8.2 210
L'alba di un mondo nuovo,A)berto Asor Rosa.,245 p.,8.2 776
L'albergo della magnolia,Lia Levi.,209 p.,8.2 599
}-L'albero dai fiori bianchi,Enzo Biagi.,193 p.,8.2 48
L'albero del riccio,Antonio Gramsci.,129 p.,8.2 227
L'alfiere,Carlo Alianello.,446 p.,8.2 721
"L'allegria, il pianto, la vita",Eugenio Scalfari.,144 p.,8.2 984
L'altra metà della mela,Viviana Leo.,98 p.,8.2 1081
L'amante del paradiso,Silvana la Spina.,297 p.,8.2 651
L'americano,Massimiliano Virgilio.,342 p.,8.2 1028
L'amica geniale,Elena Ferrante.,327 p.,8.2 868
L'amore ai tempi del fascio : Un carteggio (1932-1939),Patrizia Salvetti.,286 p.,8.2 1070
L'amore blu,Catherine Spaak.,149 p.,8.2 874
L'amore del mondo,Daria Bignardi.,60 p.,8.2 839
L'amore molesto,Elena Ferrante.,126 p.,8.2 195
L'amore quando c'era,Chiara Gamberale.,61 p.,8.2 840
L'angelo nero,Antonio Tabucchi.,152 p.,8.2 412 Scansionato con CamScanner
L'antagonista,"Carlo Cassola,",,8.2 741
L'aquilone drago,Beatrice Solinas Donghi.,226 p.,B.2 402
[M)-L'Arcistrea : Rellezza Orsini,Maria Pia Selvaggio.,184 p.,B.2 B03
}-L'Arminuta,Donatella Di Pietrantonio.,163 p.,B.2 1045
L'arte della qioia,Goliarda Sapienza.,540 p.,B.2 B71
[M}-L'assassinio di via Belpoggio e altri racconti,Italo Svevo.,79 p.,8.2 897
}-L'attenzione,Alberto Moravia.,297 p.,8.2 289
}-L'attesa,Santa Rossi.,,8. 2 806
}-L'automa,Alberto Moravia.,333 p.,8.2 290
L'avventura d'un povero cristiano,Ignazio Silone.,183 p.,"8.2 537 {[M]-L'avvocatura delle vertigini / Piero Meldini. - Milano Adelphi, 1994. - 123 p. ; 22 cm. 8.2 277"
L'eco di uno sparo,Massimo Zamboni.,191 p.,8.2 969
L'educazione delle fanciulle,"Luciana Littizzetto , Franca Valeri.",105 p.,8.2 862
L'erba cattiva,Andrea Carraro.,157 p.,8.2 111
L'ereditiera veneziana,Fulvio Tomizza.,177 p.,8.2 426
L'esercito delle cose inutili,Paola Mastrocola.,209 p.,8.2 971
L'esilio,Ugo Lo Bosco.,,
L'estate di Valentina,"Angelo Petrosino,",104 p.,8.2 620 Scansionato con CamScanner
L'età crudele,Patrizia Carrano.,126 p.,8.2 110
L'imprevisto,Luigi Torino.,224 p.,8.2 524
L'incosciente,Diego Cugia.,,8.2 638
L'incosciente,Diego Cugia.,177 p.,8.2 676
}-L'irraggiungibile approdo,Ugo Lo Bosco.,120 p.,8.2 569
L'isola del giorno prima,Umberto Eco.,473 p.,8.2 187
L'isola di Arturo,Elsa Morante.,386 p.,8.2 285
L'isola felice e altri racconti,Carlo Dossi.,214 p.,8.2 183
L'Italia abusiva,Alessandro Siani.,131 p.,8.2 940
L'odore del fieno,Giorgio Bassani.,146 p.,8.2 28
L'odore del tuo respiro,Melissa P.,138 p.,8.2 686
L'ombra del falco obeso,Gaetano Cappelli.,90 p.,8.2 852
L'omino del pepe e altri racconti,Antonio Barolini.,141 p.,8.2 26
L'oracolo,Valerio Massimo Manfredi.,350 p.,8.2 884
=L'oracolo,Valerio Massimo Manfredi.,350 p.,8.2 883
L'oro di Napoli,Giuseppe Marotta.,171 p.,8.2 271
L'orologio del mio paese,Ugo Lo Bosco.,284 p.,8.2 514
L'ultima lacrima,Stefano Benni.,171 p.,8.2 40 Scansionato con CamScanner
L'ultima legione,Valerio Massimo Manfredi.,444 p.,8.2 885
L'ultima madre,Giovanni Greco.,,8.2 943
L'ultima riga delle favole,Massimo Gramellini.,258 p.,8.2 812
L'ultimo borghese,Enrico Onufrio.,266 p.,8.2 310
L'ultimo comunista,Maurizio Ferrini.,152 p.,8.2 196
L'ultimo dei Neuroni,Andrea G. Pinketts.,172 p.,8.2 715
L'ultimo uomo,Franco Rella.,131 p.,8.2 360
L'ultimo viaggio,Enrico Filippi.,141 p.,8.2 198
L'uovo di Gertrudina,Laura Pariani.,219 p.,8.2 634
La bambina che disegnava cuori,Lucrezia Lerro.,150 p.,8.2 845
La bambina dalle mani sporche,Giampaolo Pansa.,314 p.,8.2 320
La banalità del bene,Enrico Deaglio.,133 p.,8.2 611
La banda degli invisibili,Fabio Bartolomei.,202 p.,8.2 863
La bella e la bestia e altri racconti,Vincenzo Cerami.,77 p.,8.2 895
La bellezza dell'asino,Pia Pera.,205 p.,"8,2 343"
La boutique del mistero,Dino Buzzati.,222 p.,8.2 72
La bruttina stagionata,Carmen Covito.,249 p.,8.2 145
La califfa,Alberto Bevilacqua.,202 p.,8.2 46 Scansionato con CamScanner
La casa del Granella e altri racconti,Luigi Pirandello.,79 p.,8.2 1001
)-La casa di campagna,Piero Calamdrei.,155 p.,8.2 80
}-La casa in collina,"Cesare Pavese,",165 p.,B.2 333
La chiena,Pompeo Onesti.,95 p.,B.2 509
La chimera,Sebastiano Vassalli.,303 p.,8.2 445
=-La ciociara,Alberto Moravia.,308 p.,B.2 291
[M}-La città di Miriam,Fulvio Tomizza.,197 p.,8.2 427
La coda di paglia,Alfonso Gatto.,148 p.,8.2 213
La colpa,Sara Bilotti.,282 p.,8.2 968
La compagnia dei celestini,Stefano Benni.,286 p.,8.2 41
La coscienza di Zeno,Italo Svevo.,367 p.,8.2 409
La cotogna di Istanbul,Paolo Rumiz.,221 p.,8.2 1043
La daga nel Loden,Lella Costa.,170 p.,8.2 142
La danzatrice e altri racconti,Luciano De Feo.,61 p.,8.2 504
La dismissione,Ermanno Rea.,359 p.,8.2 994
La donna gigante,Lidia Ravera.,111 p.,8.2 794
La ferita profonda,Massimo Ceccarelli.,107 p.,8.2 732
La ferocia,Nicola Lagioia.,411 p.,8.2 1002 Scansionato con CamScanner
La festa è finita,": Lidia Ravera,",277 p.,8.2 628
La Fiat del Nordest,Toni Zamengo.,141 p.,8.2 917
La figlia femmina,Anna Giurickovic Dato.,191 p.,8.2 1061
La fine dell'avventura,Giorgio Capitani.,209 p.,8.2 103
La foiba grande,Carlo Sgorlon.,320 p.,8.2 844
La fontana della giovinezza,Luisa Passerini.,127 p.,8.2 857
La fontana di Lorena,Carlo Sgorlon.,337 p.,8.2 873
La fragilità delle certezze,Raffaella Silvestri.,286 p.,8.2 1090
La fuga del cavallo morto,Gianfranco Manfredi.,156 p.,8.2 260
La giara,Luigi Pirandello.,95 p.,8.2 473
La giornata di un professore,Luigi Torino.,90 p.,8.2 601
La giovinezza,Paolo Sorrentino.,194 p.,8.2 1008
La giovinezza,Francesco De Sanctis.,290 p.,8.2 580
La grande Milano tradizionale e futurista,F.T. Marinetti.,358 p.,8.2 270
La grotta incantata,Salvatore Cravotta.,124 p.,8.2 700
La guerra di mamma : storia della partigiana Maddalena Cerasuolo,Gaetana Morgese.,124 p.,
La Jolanda furiosa,Luciana Littizzetto.,184 p.,8.2 477 Scansionato con CamScanner
La leggenda del morto contento,Andrea Vitali.,238 p.,8.2 831
La lezione del canarino,Raffaele La Capria.,79 p.,8.2 893
La lince,Silvia Avallone.,62 p.,8.2 825
La locomotiva,Gino & Michele.,,8.2 221
La luna e i falò,"Cesare Pavese,",,
La lunga strada di sabbia,Pier Paolo Pasolini.,127 p.,8.2 1040
La lunga strada sconosciuta : Una famiglia ebrea nella morsa del nazifascismo,Roberto Lughezzani.,199 p.,8.2 1077
La lunga vita di Marianna Ucria,Dacia Maraini.,264 p.,8.2 268
La macchina mondiale,Paolo Volponi.,,8.2 458
La madre,Grazia Deledda.,192 p.,8.2 176
La madre di Ettore,Rita Francese.,156 p.,8.2 975
La malora,Beppe Fenoglio.,98 p.,8.2 194
La masseria,Giuseppe Bufalari.,134 p.,8.2 68
La Mennulara,Simonetta Agnello Hornby.,205 p.,8.2 820
La mia storia,Luciana Lepore.,,((donazione dell'autore)). 8.2 947
La mia vita,Fabio Volo.,69 p.,8.2 830
-La mia vita fra due mondi,Anna Giannini.,124 p.,8.2 564 Scansionato con CamScanner
La monaca di Venezia,Alvise Zorzi.,246 p.,8.2 712
La morte di Marx e altri racconti,Sebastiano Vassalli.,78 p.,8.2 979
La nave per Kobe,Dacia Maraini.,159 p.,8.2 627
La neve se ne frega,Luciano Ligabue.,234 p.,8.2 819
La noia,Alberto Moravia.,346 p.,8.2 292
La notte dei commercialisti viventi,Lorenzo Beccati.,116 p.,8.2 30
La notte del lupo,Sebastiano Vassalli.,182 p.,8.2 446
La notte della cometa,Sebastiano Vassalli.,239 p.,8.2 447
La notte di Roma,"Carlo Bonini , Giancarlo De Cataldo.",308 p.,8.2 993
La palma di Rusafa,Annie Messina.,294 p.,8.2 783
La paloma,Carlo Castellaneta.,200 p.,8.2 116
La paranza dei bambini,Roberto Saviano.,347 p.,8.2 1033
La parola contraria,Erri De Luca.,62 p.,8.2 963
La paura,Laura Grimaldi.,227 p.,8.2 230
La pazza della porta accanto,Alda Merini.,158 p.,8.2 461
La pecora nera,Alfonso Gatto.,126 p.,8.2 693
La penna dell'angelo,Mario Postiglione.,209 p.,8.2 699
La pietra lunare,Tommaso Landolfi.,163 p.,8.2 240 Scansionato con CamScanner
La piuma,"Giorgio Faletti , Paolo Fresu.",79 p.,((con illustrazioni)). 8.2 964
La polvere del Messico,Pino Cacucci.,232 p.,8.2 77
La quinta stagione,Fulvio Tomizza.,235 p.,8.2 428
La regina disadorna,Maurizio Maggiani.,399 p.,8.2 469
La resistenza del nuotatore,Sebastiano Nata.,154 p.,8.2 482
La retta via,Domenico Starnone.,159 p.,8.2 405
La ricchezza reale,Piera Ruocco.,286 p.,8.2 1014
La rivolta,Anonimo.,174 p.,8.2 14
La rivolta di Abele,Giulio Bedeschi.,402 p.,8.2 32
La rivoluzione della luna,Andrea Camilleri.,276 p.,8.2 921
La romana,Alberto Moravia.,502 p.,8.2 293
La rosa di Gerico,Leonardo Sinisgalli.,214 p.,8.2 400
La scuola dei ladri,Libero Bigieretti.,105 p.,8.2 743
La scure d'argento,Giuseppe Marotta.,371 p.,8.2 720
La signora di Monza,Alessandro Manzoni.,222 p.,8.2 264
La signora di Sing-Sing,Idanna Pucci.,285 p.,8.2 859
La signora è una vagabonda,Domenico Rea.,60 p.,8.2 358 Scansionato con CamScanner
La signora va nel Bronx,Marianella Sclavi.,279 p.,8.2 380
La solita zuppa e altre storie,"Luciano Bianciardi. Milano : Il Sole 24 ore, 2016,",78 p.,8.2 1016
La solitudine dei numeri primi,Paolo Giordano.,304 p.,8.2 818
La spartizione,Piero Chiara.,179 p.,8.2 750
La spartizione,Piero Chiara.,179 p.,8.2 127
La spiaggia d'oro,Raffaello Brignetti.,233 p.,8.2 64
La sposa bambina,Alfonso Gatto.,135 p.,8.2 494
La sposa tradita,Adele Grisendi.,234 p.,8.2 796
La staffetta del generale Lee,Tino Ranieri.,206 p.,8.2 541
La stagione che verrà,Paola Soriga.,158 p.,8.2 958
La strada che va in città,Natalia Ginzburg.,79 p.,8.2 853
La strada di casa : racconto autobiografico,Alfonso Lombardi.,146 p.,8.2 622
La strada di Smirne,Antonia Arslan.,282 p.,8.2 544
La strada per Roma,Paolo Volponi.,420 p.,8.2 459
La tempesta,Emilio Tadini.,383 p.,8.2 416
La testa fra le nuvole,Susanna Tamaro.,145 p.,8.2 417
La testa perduta di Damasceno Monteiro,"Antonio Tabucchi. Milano : Feltrinelli, 1997.",239 p.,8.2 413 Scansionato con CamScanner
La tigre e la neve,"Roberto Benigni , Vincenzo Cerami.",184 p.,8.2 709
[M)-La valigia di Agafia,Marta Franceschini.,102 p.,8.2 1060
[M)-La valle dei cavalieri,Raffaele Crovi.,311 p.,8.2 146
=La vedova scalza,Salvatore Niffoi.,,8.2 787
La vendetta,Marco Vichi.,201 p.,8.2 931
La via del Signore,Ugo Lo Bosco.,136 p.,8.2 570
La virtù di Checchina,Matilde Serao.,88 p.,8.2 595
La vita in gioco,Gina Basso.,304 p.,8.2 936
La vita obliqua,Enzo Siciliano.,207 p.,8.2 774
La vita perduta,Elio Chinol.,,
La vita soltanto,Andrea Munari.,333 p.,8.2 1035
La voce dei padroni,Camilla Cederna.,434 p.,8.2 122
La volpe e le camelie,Ignazio Silone.,160 p.,8.2 396
La zona cieca,Chiara Gamberale.,219 p.,8.2 1086
Lacci,Domenico Starnone.,133 p.,8.2 952
Ladri di noi stessi,Andrea Gerardo Nappi.,189 p.,8.2 301
Lasciate in pace Marcello,Piergiorgio Paterlini.,85 p.,8.2 1012
Lavinia e l'angelo custode,Giovanna Mozzillo.,219 p.,8.2 632 Scansionato con CamScanner
Lavoro da morire,"Avoledo Bajani , et al.",126 p.,8.2 607
Lavoro e vita d'altri tempi e pensiero religioso-sociale,G. Sabatino.,85 p.,8.2 679
Le avventure di Numero Primo,"Marco Paolini , Gianfranco Bettin.",325 p.,8.2 1084
Le balene restino sedute,Alessandro Bergozoni.,152 p.,8.2 42
Le Beatrici,Stefano Benni.,92 p.,8.2 881
Le città invisibili,Italo Calvino.,170 p.,8.2 94
Le cosmicomiche,Italo Calvino.,160 p.,8.2 95
Le dieci città,Marcello Argilli.,191 p.,8.2 530 _
Le donne di una vita,Carlo Castellaneta.,308 p.,8.2 117
Le due città,Soldati.,545 p.,8.2 751
Le due colline,Pina Sozio.,139 p.,8.2 1079
Le etichette delle camicie,Tiziano Sclavi.,157 p.,8.2 381
Le libere donne di Magliano,Mario Tobino.,193 p.,8.2 422
Le masche,Franco Cordero.,148 p.,8.2 140
=Eé memorie di un Italiano,Ippolito Nievo.,347 p.,8.2 727
Le mie prigioni,Silvio Pellico.,263 p.,8.2 539
Le mie prigioni,Silvio Pellico.,349 p.,8.2 341
Le mie ragioni,Luigi Torino.,195 p.,8.2 527 Scansionato con CamScanner
Le nostre radici,Toni Zamengo.,215 p.,8.2 918
Le nozze di Cadmo e Armonia,Roberto Calasso.,465 p.,8.2 81
Le ombre bianche,Ennio Flaiano.,2713 p.,
Le pagine strappate,Cristina Comencini.,179 p.,8.2 132
Le piene di grazia,Carmen Totaro.,,
Le rose di Evita,Nico Orengo.,138 p.,8.2 311
Le sante dello scandalo,Erri De Luca.,,8.2 835
Le scarpe al sole,Paolo Monelli.,216 p.,
Le stelle fredde,Guido Piovene.,231 p.,8.2 345
Le tartarughe tornano sempre,Enzo Gianmaria Napolillo.,216 p.,8.2 961
Le tre del mattino,"Gianrico, Carofiglio.",165 p.,8.2 1083
Le viceregine di Napoli,Luciana Viviani.,172 p.,8.2 867
Legami d'amore,Maria Rosa Nuvoletta.,159 p.,8.2 534
Leggende della trasformazione,Tiziana Colusso.,110 p.,8.2 130
Leggere e amare,Annamaria Testa.,326 p.,8.2 421
Lessico famigliare,Natalia Ginzburg.,218 p.,8.2 752
Lettera a un bambino mai nato,Oriana Fallaci.,111 p.,8.2 559
Lettera di dimissioni,Valeria Parrella.,187 p.,8.2 854 Scansionato con CamScanner
Lettere,Filippo Sassetti.,140 p.,8.2 574
Lettere 1924-1944,"Cesare Pavese,",779 p.,8.2 335
Lettere 1945-1950,Cesare Pavese.,612 p.,8.2 336
Lettere dal carcere,Antonio Gramsci.,303 p.,8.2 228
Lettere dalla Ciociaria...,Marcello De Santis.,14 p.,8.2 658
Libere sempre,Marisa Ombra.,83 p.,8.2 861
Lifting al cuore,Paolo Mosca.,157 p.,8.2 300
Lilla,Amleto De Silva.,105 p.,8.2 171
Limbo,Melania G. Mazzucco.,476 p.,8.2 856
Lo sguardo nel buio,Guglielmo Biraghi.,155 p.,8.2 57
Lo spazio bianco,Valeria Parrella.,,8.2 788
Lo stato del cielo,Enrico Micheli.,455 p.,8.2 843
Lotte di classi,Luigi Galella.,186 p.,8.2 669
Lunga è la notte,Enzo Biagi.,221 p.,8.2 49
